Data,Ticker,Order,Prezzo,Share,Tot,Conto,Flusso
03/09/2024,VWCE,Buy,"€ 123,32",3,"€ 369,96",Fineco,"-€ 369,96"
03/09/2024,EXUS,Buy,"€ 30,04",4,"€ 120,16",Fineco,"-€ 120,16"
01/10/2024,VWCE,Buy,"€ 125,96",2,"€ 251,92",Fineco,"-€ 251,92"
01/10/2024,EXUS,Buy,"€ 30,34",4,"€ 121,34",Fineco,"-€ 121,34"
04/11/2024,VWCE,Buy,"€ 126,50",1,"€ 126,50",Fineco,"-€ 126,50"
04/11/2024,EXUS,Buy,"€ 29,50",5,"€ 147,50",Fineco,"-€ 147,50"
04/11/2024,XEON,Buy,"€ 144,09",18,"€ 2.593,60",Fineco,"-€ 2.593,60"
04/12/2024,VWCE,Buy,"€ 135,06",3,"€ 405,18",Fineco,"-€ 405,18"
04/12/2024,EXUS,Buy,"€ 30,57",1,"€ 30,57",Fineco,"-€ 30,57"
04/12/2024,ANAU,Buy,"€ 17,18",3,"€ 51,55",Fineco,"-€ 51,55"
06/01/2025,VWCE,Buy,"€ 134,36",1,"€ 134,36",Fineco,"-€ 134,36"
06/01/2025,EXUS,Buy,"€ 30,10",1,"€ 30,10",Fineco,"-€ 30,10"
06/01/2025,ANAU,Buy,"€ 17,69",19,"€ 336,19",Fineco,"-€ 336,19"
03/02/2025,VWCE,Buy,"€ 137,36",1,"€ 137,36",Fineco,"-€ 137,36"
03/02/2025,ANAU,Buy,"€ 17,84",19,"€ 339,04",Fineco,"-€ 339,04"
05/03/2025,VWCE,Buy,"€ 136,94",1,"€ 136,94",Fineco,"-€ 136,94"
05/03/2025,EXUS,Buy,"€ 32,24",6,"€ 193,41",Fineco,"-€ 193,41"
05/03/2025,ANAU,Buy,"€ 17,37",9,"€ 156,35",Fineco,"-€ 156,35"
05/03/2025,TSLA,Buy,"€ 221,62","0,0458","€ 10,15",TradeRepublic,"-€ 10,15"
05/03/2025,AAPL,Buy,"€ 197,76","0,0492","€ 9,73",TradeRepublic,"-€ 9,73"
05/03/2025,NFLX,Buy,"€ 578,95","0,0171","€ 9,90",TradeRepublic,"-€ 9,90"
05/03/2025,UEC,Buy,"€ 3,29",29,"€ 95,41",TradeRepublic,"-€ 95,41"
05/03/2025,UST,Buy,"€ 76,46","6,5698","€ 502,33",TradeRepublic,"-€ 502,33"
02/04/2025,UST,Buy,"€ 72,42","0,793427","€ 57,46",TradeRepublic,"-€ 57,46"
03/04/2025,EXUS,Buy,"€ 30,70",6,"€ 184,19",Fineco,"-€ 184,19"
03/04/2025,VWCE,Buy,"€ 126,18",1,"€ 126,18",Fineco,"-€ 126,18"
03/04/2025,ANAU,Buy,"€ 15,42",6,"€ 92,51",Fineco,"-€ 92,51"
11/04/2025,UEC,Buy,"€ 4,11",25,"€ 102,75",TradeRepublic,"-€ 102,75"
02/05/2025,UST,Buy,"€ 71,54","0,825831","€ 59,08",TradeRepublic,"-€ 59,08"
02/05/2025,VWCE,Buy,"€ 123,95",2,"€ 247,91",Fineco,"-€ 247,91"
02/05/2025,ANAU,Buy,"€ 15,25",8,"€ 122,02",Fineco,"-€ 122,02"
02/05/2025,EXUS,Buy,"€ 30,92",4,"€ 123,68",Fineco,"-€ 123,68"
02/06/2025,UST,Buy,"€ 75,67","0,711377","€ 53,83",TradeRepublic,"-€ 53,83"
02/06/2025,VWCE,Buy,"€ 127,72",1,"€ 127,72",Fineco,"-€ 127,72"
02/06/2025,ANAU,Buy,"€ 16,12",1,"€ 16,12",Fineco,"-€ 16,12"
02/06/2025,EXUS,Buy,"€ 31,86",2,"€ 63,71",Fineco,"-€ 63,71"
02/06/2025,XEON,Buy,"€ 146,40",1,"€ 146,40",Fineco,"-€ 146,40"
02/07/2025,UST,Buy,"€ 77,93","0,703194","€ 54,80",TradeRepublic,"-€ 54,80"
01/07/2025,VWCE,Buy,"€ 129,46",1,"€ 129,46",Fineco,"-€ 129,46"
01/07/2025,EXUS,Buy,"€ 31,51",6,"€ 189,06",Fineco,"-€ 189,06"
04/08/2025,UST,Buy,"€ 80,91","0,656284","€ 53,10",TradeRepublic,"-€ 53,10"
04/08/2025,VWCE,Buy,"€ 133,40",1,"€ 133,40",Fineco,"-€ 133,40"
04/08/2025,EXUS,Buy,"€ 31,84",6,"€ 191,01",Fineco,"-€ 191,01"
04/08/2025,ANAU,Buy,"€ 17,33",1,"€ 17,33",Fineco,"-€ 17,33"
02/09/2025,UST,Buy,"€ 80,36","0,641363","€ 51,54",TradeRepublic,"-€ 51,54"
02/09/2025,VWCE,Buy,"€ 134,90",2,"€ 269,79",Fineco,"-€ 269,79"
02/09/2025,EXUS,Buy,"€ 32,47",3,"€ 97,41",Fineco,"-€ 97,41"
02/09/2025,ANAU,Buy,"€ 17,26",4,"€ 69,04",Fineco,"-€ 69,04"
01/10/2025,VWCE,Buy,"€ 140,26",1,"€ 140,26",Fineco,"-€ 140,26"
01/10/2025,EXUS,Buy,"€ 33,53",4,"€ 134,12",Fineco,"-€ 134,12"
01/10/2025,ANAU,Buy,"€ 18,15",2,"€ 36,31",Fineco,"-€ 36,31"
01/10/2025,UST,Buy,"€ 86,14","0,706407","€ 60,85",TradeRepublic,"-€ 60,85"
01/11/2025,EXUS,Buy,"€ 34,27",14,"€ 479,78",Fineco,"-€ 479,78"
01/11/2025,XEON,Sell,"€ 147,57",13,"€ 1.918,35",Fineco,"-€ 1.918,35"
01/11/2025,XEON,Sell,"€ 147,07",6,"€ 882,44",Fineco,"-€ 882,44"
01/11/2025,UST,Buy,"€ 86,14","0,706407","€ 60,85",TradeRepublic,"-€ 60,85"
01/12/2025,EXUS,Buy,"€ 34,27",12,"€ 411,18",Fineco,"-€ 411,18"
01/12/2025,ANAU,Buy,"€ 18,89",2,"€ 37,78",Fineco,"-€ 37,78"
02/12/2025,UST,Buy,"€ 89,14","0,631289","€ 56,27",TradeRepublic,"-€ 56,27"